[2020-04-14T22:24:38.192-0700][gc,heap      ] GC(11) Humongous regions: 1->1
[2020-04-14T22:24:38.192-0700][gc,metaspace ] GC(11) Metaspace: 7794K->7794K(1056768K)
[2020-04-14T22:24:38.192-0700][gc           ] GC(11) Pause Young (Normal) (G1 Evacuation Pause) 194M->7M(512M) 5.497ms
[2020-04-14T22:24:38.192-0700][gc,cpu       ] GC(11) User=0.02s Sys=0.00s Real=0.01s
[2020-04-14T23:36:16.439-0700][gc,start     ] GC(12) Pause Young (Normal) (G1 Evacuation Pause)
[2020-04-14T23:36:16.439-0700][gc,task      ] GC(12) Using 4 workers of 4 for evacuation
[2020-04-14T23:36:16.447-0700][gc,phases    ] GC(12)   Pre Evacuate Collection Set: 0.0ms
[2020-04-14T23:36:16.447-0700][gc,phases    ] GC(12)   Evacuate Collection Set: 6.8ms
[2020-04-14T23:36:16.447-0700][gc,phases    ] GC(12)   Post Evacuate Collection Set: 1.1ms
[2020-04-14T23:36:16.447-0700][gc,phases    ] GC(12)   Other: 0.4ms
[2020-04-14T23:36:16.447-0700][gc,heap      ] GC(12) Eden regions: 192->0(198)
[2020-04-14T23:36:16.447-0700][gc,heap      ] GC(12) Survivor regions: 1->1(25)
[2020-04-14T23:36:16.447-0700][gc,heap      ] GC(12) Old regions: 6->6
[2020-04-14T23:36:16.447-0700][gc,heap      ] GC(12) Humongous regions: 1->1
[2020-04-14T23:36:16.447-0700][gc,metaspace ] GC(12) Metaspace: 7824K->7824K(1056768K)
[2020-04-14T23:36:16.447-0700][gc           ] GC(12) Pause Young (Normal) (G1 Evacuation Pause) 199M->7M(512M) 8.609ms
[2020-04-14T23:36:16.447-0700][gc,cpu       ] GC(12) User=0.02s Sys=0.00s Real=0.00s
[2020-04-15T00:48:13.978-0700][gc,start     ] GC(13) Pause Young (Normal) (G1 Evacuation Pause)
[2020-04-15T00:48:13.978-0700][gc,task      ] GC(13) Using 4 workers of 4 for evacuation
[2020-04-15T00:48:13.982-0700][gc,phases    ] GC(13)   Pre Evacuate Collection Set: 0.1ms
[2020-04-15T00:48:13.982-0700][gc,phases    ] GC(13)   Evacuate Collection Set: 3.3ms
[2020-04-15T00:48:13.982-0700][gc,phases    ] GC(13)   Post Evacuate Collection Set: 0.9ms
[2020-04-15T00:48:13.982-0700][gc,phases    ] GC(13)   Other: 0.4ms
[2020-04-15T00:48:13.982-0700][gc,heap      ] GC(13) Eden regions: 198->0(205)
[2020-04-15T00:48:13.982-0700][gc,heap      ] GC(13) Survivor regions: 1->1(25)
[2020-04-15T00:48:13.982-0700][gc,heap      ] GC(13) Old regions: 6->6
[2020-04-15T00:48:13.982-0700][gc,heap      ] GC(13) Humongous regions: 1->1
[2020-04-15T00:48:13.982-0700][gc,metaspace ] GC(13) Metaspace: 7968K->7968K(1056768K)
[2020-04-15T00:48:13.983-0700][gc           ] GC(13) Pause Young (Normal) (G1 Evacuation Pause) 205M->7M(512M) 4.836ms
[2020-04-15T00:48:13.983-0700][gc,cpu       ] GC(13) User=0.01s Sys=0.01s Real=0.00s
[2020-04-15T02:00:33.338-0700][gc,start     ] GC(14) Pause Young (Normal) (G1 Evacuation Pause)
[2020-04-15T02:00:33.373-0700][gc,task      ] GC(14) Using 4 workers of 4 for evacuation
[2020-04-15T02:00:33.377-0700][gc,phases    ] GC(14)   Pre Evacuate Collection Set: 0.0ms
[2020-04-15T02:00:33.377-0700][gc,phases    ] GC(14)   Evacuate Collection Set: 3.2ms
[2020-04-15T02:00:33.377-0700][gc,phases    ] GC(14)   Post Evacuate Collection Set: 1.0ms
[2020-04-15T02:00:33.377-0700][gc,phases    ] GC(14)   Other: 34.6ms
[2020-04-15T02:00:33.377-0700][gc,heap      ] GC(14) Eden regions: 205->0(210)
[2020-04-15T02:00:33.377-0700][gc,heap      ] GC(14) Survivor regions: 1->1(26)
[2020-04-15T02:00:33.377-0700][gc,heap      ] GC(14) Old regions: 6->6
[2020-04-15T02:00:33.377-0700][gc,heap      ] GC(14) Humongous regions: 1->1
[2020-04-15T02:00:33.377-0700][gc,metaspace ] GC(14) Metaspace: 7973K->7973K(1056768K)
[2020-04-15T02:00:33.378-0700][gc           ] GC(14) Pause Young (Normal) (G1 Evacuation Pause) 212M->7M(512M) 39.147ms
[2020-04-15T02:00:33.378-0700][gc,cpu       ] GC(14) User=0.01s Sys=0.00s Real=0.04s
